"Hoy tenía un examen de lenguaje y quería saber si me puedes ayudar a distinguir el homófono de votar:","Botar","Sufragio","Volar","Votación","15","Los homógrafos son palabras que suenan muy parecido pero se escriben distinto, ¿Entendiste?"
"El mundo de la ortografía es tan grande como el mundo de los vinos, por eso me confundo ¿Me pudieras ayudar diciéndome el homógrafo de vino?","Vino","Bino","Bebida","Bello","15","Los homógrafos son palabras que se escriben igual, pero, que cambian según el contexto, ""me tomo un vino"" a decir ""alguien vino"""
"Mis alumnos se suelen confundir mucho al escribir y buscar el significado de la palabra bello ¿Me lo pudieras decir tú?","Algo hermoso","Pelo corto","Instrumento musical","Mantilla de tela","15","Bello con ""B"" es un sinónimo de hermosura o lindura y viene de la palabra Belleza, lo demás no tiene mucho que ver"
"Vengo de vacaciones desde muy lejos y quería saber ¿Cuál de estas opciones es homófona de ola?","Hola","Ola","Wave","Olla","15","Los homófonos son palabras que suenan exactamente igual, más, se escriben de manera distinta, como “Hola” y “Ola"
"Ay, me siento mareado y no logro distinguir bien ¿Puedes ayudarme a seleccionar la correcta?","Tuviste","Tubiste","Tuvíste","Tubisté","15","Abre bien los ojos, la forma correcta de escribirlo es ""tuviste"" las demás ni si quiera existen."
"¡Ayuda! una de estas palabras se robó la tilde diacrítica, ¿A quién no le pertenece tenerla?","Mís","Él","Tú","Dé","15","La tilde diacrítica ayuda a distinguir palabras que se escriben igual, sin embargo, no existe la palabra Mís con tilde, solo existe sin tilde"
"Siempre he visto que la palabra Si No se escribe separada ¿pero cuál será el significado de Sino junta? No lo sé… Ayúdame","Una afirmación a una negación","Parte del cuerpo de un cerdo","Un destino que se debe cumplir","Marca en la piel","15","Sino se ocupa para introducir una afirmación que se opone a una negación anterior, y ya, lo demás no existe"
"¡Imagínate que te darán un millón de dólares si respondes bien! ¿Cuál de estas opciones es la palabra correcta para hacerte millonario?","Beneficencia","Beneficencía","Beneficiencia","Benefisiencia","20","Mas te vale haber abierto bien los ojos. Si obtuviste la respuesta correcta puedes tomar 2 monedas, esta vez invita la casa"
"Nunca supe ubicarme por estos rumbos, ¿Me puedes indicar cual de estas palabras me puede ayudar a no perderme la próxima vez?","Ayá","Ay","Hay","Hayá","15","Ubícate, ""ayá"" marca una dirección, los otros no tanto"
"Sinceramente y aún con tantos años trabajando en fontanería no recuerdo la diferencia de tubo y tuvo ¿Me puede ayudar con el significado de tubo?","Canal para trasportar cosas","Del verbo ""Tener""","De la palabra basto","Lugar","15","Tubo con ""B"" es esa cosa con la que están hechas las cañerías."
"Sinceramente y aún con tantos años trabajando en fontanería no recuerdo la diferencia de tubo y tuvo ¿Me puede ayudar con el significado de tuvo?","Del verbo ""Tener""","Canal para transportar cosas","De la palabra basto","Lugar","15","Tuvo con ""V"" es una conjugación del verbo tener"
"Desolado… así me siento a veces… pero no sé cuál de todas estas opciones lleva tilde diacrítica, ayúdame y me pongo feliz","Solo (Sin compañía)","Solo (en inglés)","Solo (únicamente)","Solo (Musical)","15","""Sólo"" lleva tilde solamente si nos referimos a la soledad, solo en esos casos se usa la tilde diacrítica."
"¿Cuál de las siguientes opciones es una homófona de ""había""? ¡Mira bien lo que lees!","Avía","Haba","Haiga","Havía","15","Avía viene del verbo Aviar y, aún que no se escriba de la misma manera, suena exactamente igual que Habíaa del verbo Haber."
"Quiero mandarle una carta con indicaciones a mi hermana para encontrarnos en un lugar, pero se cual usar ¿me ayudas?","Vaya","Baya","Balla","Valla","15","Vaya es un derivado de la palabra ""Ir"" que indica lugar."
"Nunca puse atención en Lenguaje, aún que tú tienes cara que le sabes a esto ¿Me dices qué palabra lleva la tilde diacrítica? Te deberé una","Te (bebida)","Te (letra ""T"")","Te (Pronombre)","Te (Del verbo tener)","15","El té es la única de estas palabras en llevar tilde, las otras nunca la usan."
"Me perdí en el bosque y no estoy segura cual de estas es la palabra que describe una fruta, si me ayudas te invito un sandwich","Baya","Vaya","Valla","Balla","15","Las bayas son ese tipo de frutas con las que está hecha la mermelada (""balla"" no existe)."
"Tengo esta canción en la cabeza, iba algo tipo “Te extraño, dime _______ te fuiste” ¿Tú la recuerdas?","Por qué","Porque","Por que","Porqué","15","""Por qué"" separado y con tilde se usa para preguntas, así de fácil."
"Piensa rápido, ¿cuál es la sílaba tónica en la palabra ""rápido"", lista para correr como sombra en la noche?","Rá","Pi","Do","No tiene","10","La sílaba tónica es donde la palabra lleva más fuerza de voz, si ves una tilde allí, esa es."
"¡Oye! ¡Tú! Necesito tu ayuda ¿Cuál de estas palabras no es esdrújula?, lo necesito para ayer","Estatus","Publico","Camara","Pelicula","15","Las palabras esdrújulas son las que llevan la sílaba tónica en la antepenúltima sílaba y siempre se tildan, cuidado con eso."
"Ay, me siento mareado y no logro distinguir bien ¿Puedes ayudarme a seleccionar la correcta?","Había","Habia","Havia","Havía","15","Abre bien los ojos, la forma correcta de escribirlo es ""Había"" las demás ni si quiera existen."
"Hola, aquí Sammy, ten una pequeña ayudita jejeje","Correcta","Haiga","chi","#4&)0Ñno","25","Espero haberte ayudado, suerte :D."
"Hola, amigo, ¿Por casualidad sabes en que casos se tildan las agudas? Vaya situación peliaguda ¿no?","Si termina en n, s o vocal","Si no termina en n, s o vocal","Nunca","Siempre","15","Las palabras agudas llevan la sílaba tónica en la última sílaba y solo se tildan si acaban en n, s o vocal."
"Hola, amigo, ¿Por casualidad sabes en que casos se tildan las graves? Entiende que esto es grave jeje","Si no termina en n, s o vocal","Si termina en n, s o vocal","Nunca","Siempre","15","Las palabras graves llevan la sílaba tónica en la penúltima sílaba y solo se tildan si no acaban en n, s o vocal."
"Hola, amigo, ¿Por casualidad sabes en que casos se tildan las esdrújulas? Honestamente hoy no se me ocurre ningún chiste","Siempre","Si no termina en n, s o vocal","Nunca","Si termina en n, s o vocal","15","Las palabras edrújulas llevan la sílaba tónica en la antepenúltima sílaba y siempre se tildan."
"Hola, amigo, ¿Por casualidad sabes en que casos se tildan las sobresdrújulas? Honestamente hoy no se me ocurre ningún chiste","Siempre","Si no termina en n, s o vocal","Nunca","Si termina en n, s o vocal","15","Las palabras sobresdrújulas llevan la sílaba tónica en la trasantepenúltima sílaba o anterior y siempre se tildan."
"""Shhhhhhhhhh"" ¿que clase de palabra era esa?","Onomatopeya","Prosopopeya","Sonido","Entonación","15","Cuando se quieren escribir sonidos, se usan Onomatopeyas, ¡Boom!"
"Hola, ayúdame con esta pregunta, si es que puedes... Las palabras con hiato son aquellas que tienen:","2 vocales separadas en una sílaba","3 vocales juntas en una sílaba","2 sílabas juntas en una palabra","2 consonantes cerradas juntas","15","El hiato ocurre cuando 2 vocales cerradas se encuentras, no se llevan mucho."
"Hola, ayúdame con esta pregunta, si es que puedes… ¿Cuál de estos pronombres lleva una tilde que cambia su significado?","El","Le","Tus","Su","15","El pronombre ""él"" es el único que cambia dependiendo de el sujeto qel que estemos hablando."
"¡Hey! No te distraigas, dime como se escribe esta palabra compuesta, tengo que zarpar","Portavión","Portaavión","Porta avion","Porta-vion","10","La forma correcta de escribirlo es ""Portavión"", recuerda leer bien."
"Estoy haciendo un papeleo importante y no estoy seguro de esto, porfavor ayúdame y solo selecciona el uso correcto","No obstante","Más, sin embargo","Pero mas","Aún así","15","Siempre revisa las tildes, y las comas, y las redundancias, recuerda hablar bien en general."
"Hay un impostor aquí ¿Cuál de las siguientes opciones tiene un error de acentuación?","""Yo té odio""","""Dime el porqué""","""Voy a querer esta""","""Ya lo sé""","15","¿Por qué odias el té?, queda muy bien tomarlo con galletas."
"Ay, me siento mareado y no logro distinguir bien ¿Puedes ayudarme a seleccionar la incorrecta?","Rompistes","Viniste","Alcancé","Pezcar","15","Abre bien los ojos, la manera correcta de escribir ""rompistes"" es ""rompiste"""
"Tengo esta canción en la cabeza, iba algo tipo “Yoo te conozco, dime el _____” ¿Tú la recuerdas?","Porqué","Porque","Por que","Por qué","15","Porqué unido con tilde es un sinónimo de la palabra ""motivo""."
"Recuerdo que me dedicaron este poema varias veces ""Estoy mal _____ estoy sin ti” ¿Lo has oído?","Porque","Porqué","Por que","Por qué","15","Porque sin tilde se usa para dar la razón de algo, así de fácil."
"Una vez alguien me dijo ""Desconozco las causas ______ me odias"" no me acuerdo qué más me dijo","Por que","Porqué","Porque","Por qué","15","Por que separado y sin tilde es lo mismo que decir ""por lo/la/los/las que""."
"¡Ring Ring! Contesta porfavor, están preguntando por las sílabas átonas de la palabra ""Teléfono""","Te-fo-no","Te-lé-no","Fo-no","No tiene","15","Las sílabas átonas son las sílabas que llevan la menor fuerza de voz, en una palabra con tilde, son las sílabas que no la llevan."
"Ayúdame con esta tarea porfa, no me acuerdo en que casos se usa ""mas"" con tilde","Mas (mayor cantidad)","Mas (sinónimo de pero)","Mas (símbolo griego)","Mas (Sinónimo de sin embargo)","15","Más con tilde solo se ocupa cuano hablas de sumar o de que hay una mayor cantidad de algo."